q_c_seed,lambda_1,lambda_2,lambda_3,aa,tau,cdist,ci_prob_mean,mse
3,0.8,0,0,1.2,0,0.831526111,0.826575939,0.877469861
3,0.8,1,0,1.2,0,0.831526111,0.826575939,0.877469861
3,0.8,1.5,0.5,1.2,0,0.831591026,0.826560937,0.877485082
3,0.8,0,0.5,1.2,0,0.831591026,0.826560937,0.877485082
3,0.8,0.5,0.5,1.2,0,0.831591026,0.826560937,0.877485082
3,0.8,1,0.5,1.2,0,0.831591026,0.826560937,0.877485082
3,0.8,1,1,1.2,0,0.831673864,0.826550908,0.877489779
3,0.8,1.5,1,1.2,0,0.831673864,0.826550908,0.877489779
3,0.8,0,1,1.2,0,0.831673864,0.826550907,0.877489779
3,0.8,0.5,1,1.2,0,0.831673864,0.826550907,0.877489779
3,0.8,2,0.5,1.2,0,0.831589046,0.826559798,0.877490162
3,0.8,2,1,1.2,0,0.83166062,0.826547845,0.877495349
3,0.8,0,1.5,1.2,0,0.831716056,0.826528843,0.877524686
3,0.8,0.5,1.5,1.2,0,0.831716056,0.826528843,0.877524686
3,0.8,1.5,1.5,1.2,0,0.831716056,0.826528843,0.877524687
3,0.8,1,1.5,1.2,0,0.831716056,0.826528843,0.877524687
3,0.8,2,1.5,1.2,0,0.831716056,0.826528843,0.877524687
1,0.5,0,1,1.2,0,0.618479469,0.810935093,0.901866561
1,0.5,0.5,1,1.2,0,0.618479469,0.810935093,0.901866561
1,0.5,0,1.5,1.2,0,0.618479469,0.810935093,0.901866561
1,0.5,0.5,1.5,1.2,0,0.618479469,0.810935093,0.901866561
1,0.5,1,1,1.2,0,0.618479469,0.810935093,0.901866561
1,0.5,1,1.5,1.2,0,0.618479469,0.810935093,0.901866561
1,0.5,1.5,0,1.2,0,0.618479469,0.810935093,0.901866561
1,0.5,2,0,1.2,0,0.618479469,0.810935093,0.901866561
1,0.5,1.5,0.5,1.2,0,0.618479469,0.810935093,0.901866561
1,0.5,2,0.5,1.2,0,0.618479469,0.810935093,0.901866561
1,0.5,1.5,1,1.2,0,0.618479469,0.810935093,0.901866561
1,0.5,2,1,1.2,0,0.618479469,0.810935093,0.901866561
1,0.5,1.5,1.5,1.2,0,0.618479469,0.810935093,0.901866561
1,0.5,2,1.5,1.2,0,0.618479469,0.810935093,0.901866561
